iter	Passed	Remaining
756	77370	24836
757	77459	24729
758	77545	24622
759	77633	24515
760	77725	24410
761	77820	24306
762	77912	24200
763	77995	24092
764	78082	23986
765	78172	23880
766	78268	23776
767	78369	23674
768	78463	23569
769	78552	23463
770	78640	23357
771	78730	23252
772	78817	23145
773	78906	23039
774	78997	22934
775	79087	22829
776	79175	22723
777	79267	22618
778	79375	22518
779	79469	22414
780	79554	22307
781	79638	22201
782	79725	22095
783	79812	21989
784	79896	21882
785	79986	21777
786	80091	21676
787	80209	21579
788	80319	21479
789	80448	21385
790	80561	21286
791	80664	21184
792	80780	21086
793	80876	20983
794	80968	20878
795	81051	20772
796	81141	20667
797	81232	20562
798	81327	20459
799	81418	20354
800	81508	20249
801	81598	20145
802	81688	20040
803	81779	19936
804	81867	19831
805	81956	19726
806	82051	19623
807	82141	19518
808	82232	19414
809	82321	19310
810	82409	19205
811	82505	19102
812	82594	18997
813	82685	18893
814	82775	18789
815	82920	18697
816	83030	18598
817	83138	18497
818	83251	18398
819	83375	18301
820	83501	18205
821	83625	18108
822	83822	18027
823	84084	17959
824	84359	17894
825	84710	17844
826	84899	17760
827	85052	17667
828	85236	17581
829	85379	17487
830	85528	17393
831	85643	17293
832	85779	17197
833	85917	17101
834	86043	17002
835	86180	16906
836	86364	16818
837	86502	16722
838	86654	16628
839	86785	16530
840	86899	16429
841	87015	16328
842	87146	16230
843	87325	16140
844	87472	16045
845	87613	15948
846	87753	15851
847	87982	15770
848	88251	15696
849	88669	15647
850	89084	15597
851	89387	15527
852	89669	15452
853	89894	15368
854	90336	15320
855	90697	15257
856	90980	15181
857	91467	15138
858	91759	15061
859	92259	15019
860	92788	14979
861	93069	14899
862	93245	14802
863	93448	14709
864	93814	14641
865	94158	14569
866	94347	14473
867	94631	14391
868	94958	14314
869	95331	14244
870	95711	14175
871	95918	14079
872	96226	13998
873	96622	13929
874	96833	13833
875	97025	13734
876	97261	13640
877	97895	13602
878	98294	13530
879	98823	13475
880	99010	13373
881	99164	13266
882	99375	13167
883	99617	13072
884	99785	12966
885	100004	12867
886	100264	12773
887	100508	12676
888	100720	12575
889	100910	12472
890	101129	12371
891	101416	12279
892	101834	12201
893	102047	12099
894	102302	12001
895	102541	11902
896	102719	11795
897	103056	11705
898	103350	11611
899	103656	11517
900	103859	11411
901	104024	11302
902	104253	11198
903	104463	11093
904	104624	10982
905	104766	10869
906	104881	10754
907	104979	10636
908	105119	10523
909	105212	10405
910	105303	10287
911	105399	10170
912	105488	10051
913	105580	9934
914	105667	9816
915	105753	9697
916	105840	9579
917	105933	9462
918	106018	9344
919	106118	9227
920	106215	9110
921	106322	8994
922	106426	8878
923	106517	8761
924	106604	8643
925	106699	8526
926	106785	8409
927	106872	8291
928	106957	8174
929	107045	8057
930	107136	7940
931	107269	7826
932	107386	7711
933	107492	7595
934	107588	7479
935	107679	7362
936	107774	7246
937	107876	7130
938	107980	7014
939	108066	6897
940	108152	6781
941	108242	6664
942	108327	6547
943	108420	6431
944	108513	6315
945	108619	6200
946	108746	6086
947	108893	5973
948	109013	5858
949	109105	5742
950	109210	5627
951	109304	5511
952	109404	5395
953	109517	5280
954	109624	5165
955	109713	5049
956	109804	4933
957	109900	4818
958	110007	4703
959	110106	4587
960	110197	4472
961	110290	4356
962	110383	4241
963	110478	4125
964	110572	4010
965	110666	3895
966	110756	3779
967	110846	3664
968	110934	3548
969	111039	3434
970	111128	3318
971	111236	3204
972	111386	3090
973	111490	2976
974	111580	2861
975	111668	2745
976	111758	2630
977	111844	2515
978	111927	2400
979	112012	2285
980	112103	2171
981	112194	2056
982	112282	1941
983	112373	1827
984	112466	1712
985	112554	1598
986	112639	1483
987	112730	1369
988	112822	1254
989	112915	1140
990	113006	1026
991	113098	912
992	113183	797
993	113273	683
994	113360	569
995	113453	455
996	113547	341
997	113633	227
998	113719	113
999	113807	0
